agency_cd,site_no,datetime,tz_cd,,110247_00060,110247_00060_cd
USGS,3145483,2020/1/3,06:30,EST,203,A
USGS,3145483,2020/1/3,06:45,EST,240,A
USGS,3145483,2020/1/3,07:00,EST,280,A
USGS,3145483,2020/1/3,07:15,EST,321,A
USGS,3145483,2020/1/3,07:30,EST,357,A
USGS,3145483,2020/1/3,07:45,EST,397,A
USGS,3145483,2020/1/3,08:00,EST,438,A
USGS,3145483,2020/1/3,08:15,EST,479,A
USGS,3145483,2020/1/3,08:30,EST,526,A
USGS,3145483,2020/1/3,08:45,EST,588,A
USGS,3145483,2020/1/3,09:00,EST,634,A
USGS,3145483,2020/1/3,09:15,EST,693,A
USGS,3145483,2020/1/3,09:30,EST,751,A
USGS,3145483,2020/1/3,09:45,EST,805,A
USGS,3145483,2020/1/3,10:00,EST,847,A
USGS,3145483,2020/1/3,10:15,EST,886,A
USGS,3145483,2020/1/3,10:30,EST,908,A
USGS,3145483,2020/1/3,10:45,EST,940,A
USGS,3145483,2020/1/3,11:00,EST,962,A
USGS,3145483,2020/1/3,11:15,EST,970,A
USGS,3145483,2020/1/3,11:30,EST,984,A
USGS,3145483,2020/1/3,11:45,EST,981,A
USGS,3145483,2020/1/3,12:00,EST,992,A
USGS,3145483,2020/1/3,12:15,EST,1010,A
USGS,3145483,2020/1/3,12:30,EST,1000,A
USGS,3145483,2020/1/3,12:45,EST,992,A
USGS,3145483,2020/1/3,13:00,EST,987,A
USGS,3145483,2020/1/3,13:15,EST,976,A
USGS,3145483,2020/1/3,13:30,EST,968,A
USGS,3145483,2020/1/3,13:45,EST,962,A
USGS,3145483,2020/1/3,14:00,EST,948,A
USGS,3145483,2020/1/3,14:15,EST,940,A
USGS,3145483,2020/1/3,14:30,EST,929,A
USGS,3145483,2020/1/3,14:45,EST,910,A
USGS,3145483,2020/1/3,15:00,EST,897,A
USGS,3145483,2020/1/3,15:15,EST,894,A
USGS,3145483,2020/1/3,15:30,EST,868,A
USGS,3145483,2020/1/3,15:45,EST,862,A
USGS,3145483,2020/1/3,16:00,EST,841,A
USGS,3145483,2020/1/3,16:15,EST,826,A
USGS,3145483,2020/1/3,16:30,EST,823,A
USGS,3145483,2020/1/3,16:45,EST,805,A
USGS,3145483,2020/1/3,17:00,EST,794,A
USGS,3145483,2020/1/3,17:15,EST,781,A
USGS,3145483,2020/1/3,17:30,EST,769,A
USGS,3145483,2020/1/3,17:45,EST,761,A
USGS,3145483,2020/1/3,18:00,EST,761,A
USGS,3145483,2020/1/3,18:15,EST,751,A
USGS,3145483,2020/1/3,18:30,EST,718,A
USGS,3145483,2020/1/3,18:45,EST,731,A
USGS,3145483,2020/1/3,19:00,EST,715,A
USGS,3145483,2020/1/3,19:15,EST,701,A
USGS,3145483,2020/1/3,19:30,EST,696,A
USGS,3145483,2020/1/3,19:45,EST,681,A
USGS,3145483,2020/1/3,20:00,EST,676,A
USGS,3145483,2020/1/3,20:15,EST,671,A
USGS,3145483,2020/1/3,20:30,EST,664,A
USGS,3145483,2020/1/3,20:45,EST,651,A
USGS,3145483,2020/1/3,21:00,EST,646,A
USGS,3145483,2020/1/3,21:15,EST,639,A
USGS,3145483,2020/1/3,21:30,EST,639,A
USGS,3145483,2020/1/3,21:45,EST,634,A
USGS,3145483,2020/1/3,22:00,EST,637,A
USGS,3145483,2020/1/3,22:15,EST,632,A
USGS,3145483,2020/1/3,22:30,EST,630,A
USGS,3145483,2020/1/3,22:45,EST,630,A
USGS,3145483,2020/1/3,23:00,EST,632,A
USGS,3145483,2020/1/3,23:15,EST,632,A
USGS,3145483,2020/1/3,23:30,EST,630,A
USGS,3145483,2020/1/3,23:45,EST,634,A
USGS,3145483,2020/1/4,00:00,EST,634,A
USGS,3145483,2020/1/4,00:15,EST,642,A
USGS,3145483,2020/1/4,00:30,EST,646,A
USGS,3145483,2020/1/4,00:45,EST,651,A
USGS,3145483,2020/1/4,01:00,EST,656,A
USGS,3145483,2020/1/4,01:15,EST,664,A
USGS,3145483,2020/1/4,01:30,EST,683,A
USGS,3145483,2020/1/4,01:45,EST,703,A
USGS,3145483,2020/1/4,02:00,EST,715,A
USGS,3145483,2020/1/4,02:15,EST,733,A
USGS,3145483,2020/1/4,02:30,EST,751,A
USGS,3145483,2020/1/4,02:45,EST,771,A
USGS,3145483,2020/1/4,03:00,EST,789,A
USGS,3145483,2020/1/4,03:15,EST,807,A
USGS,3145483,2020/1/4,03:30,EST,826,A
USGS,3145483,2020/1/4,03:45,EST,839,A
USGS,3145483,2020/1/4,04:00,EST,841,A
USGS,3145483,2020/1/4,04:15,EST,862,A
USGS,3145483,2020/1/4,04:30,EST,870,A
USGS,3145483,2020/1/4,04:45,EST,870,A
USGS,3145483,2020/1/4,05:00,EST,865,A
USGS,3145483,2020/1/4,05:15,EST,857,A
USGS,3145483,2020/1/4,05:30,EST,862,A
USGS,3145483,2020/1/4,05:45,EST,847,A
USGS,3145483,2020/1/4,06:00,EST,844,A
USGS,3145483,2020/1/4,06:15,EST,844,A
USGS,3145483,2020/1/4,06:30,EST,815,A
USGS,3145483,2020/1/4,06:45,EST,812,A
USGS,3145483,2020/1/4,07:00,EST,799,A
USGS,3145483,2020/1/4,07:15,EST,787,A
USGS,3145483,2020/1/4,07:30,EST,787,A
USGS,3145483,2020/1/4,07:45,EST,774,A
USGS,3145483,2020/1/4,08:00,EST,758,A
USGS,3145483,2020/1/4,08:15,EST,751,A
USGS,3145483,2020/1/4,08:30,EST,738,A
USGS,3145483,2020/1/4,08:45,EST,723,A
USGS,3145483,2020/1/4,09:00,EST,715,A
USGS,3145483,2020/1/4,09:15,EST,701,A
USGS,3145483,2020/1/4,09:30,EST,691,A
USGS,3145483,2020/1/4,09:45,EST,678,A
USGS,3145483,2020/1/4,10:00,EST,676,A
USGS,3145483,2020/1/4,10:15,EST,664,A
USGS,3145483,2020/1/4,10:30,EST,654,A
USGS,3145483,2020/1/4,10:45,EST,646,A
USGS,3145483,2020/1/4,11:00,EST,632,A
USGS,3145483,2020/1/4,11:15,EST,613,A
USGS,3145483,2020/1/4,11:30,EST,606,A
